,Unnamed: 0,tweet_id,Positive,Negative,Neutral,Irony
0,0,1396507513089150978,no,yes,no,no
1,1,1462797028405268484,no,yes,no,no
2,2,1407445298402713606,yes,no,no,no
3,3,1453282029815177219,no,yes,no,yes
4,4,1448514081728745474,no,yes,no,no
5,5,1435871366465654786,no,no,yes,no
6,6,1443886042633981955,no,no,yes,no
7,7,1443882645285478401,yes,no,no,yes
8,8,1453332539108741122,no,no,yes,no
9,9,1397189742542864386,yes,no,no,yes
10,10,1385885019940528130,no,yes,no,no
11,11,1398293407546630156,no,no,yes,no
12,12,1420045964199571460,no,yes,no,no
13,13,1424685124206174212,yes,no,no,yes
14,14,1407294832448610304,no,yes,no,yes
15,15,1351167772169003010,no,no,yes,no
16,16,1404326155419783168,yes,no,no,no
17,17,1422249999715520516,no,yes,no,no
18,18,1417171646125854724,no,yes,no,yes
19,19,1348317479995658242,no,yes,no,yes
20,20,1444969268395839490,no,yes,no,no
21,21,1416303345497776128,no,no,yes,no
22,22,1368241243612971011,yes,no,no,no
23,23,1383032430362292228,yes,no,no,yes
24,24,1467090723828813828,no,no,yes,no
25,25,1345652722687741952,no,no,yes,no
26,26,1442508188750958598,no,no,yes,no
27,27,1431969569959301120,no,yes,no,yes
28,28,1385214513197240326,no,yes,no,yes
29,29,1363772086792167425,no,no,yes,no
30,30,1476203466385149960,no,yes,no,yes
31,31,1389901254155980800,no,yes,no,yes
32,32,1391351888130592768,no,no,yes,no
33,33,1453960488090365952,no,no,yes,no
34,34,1387026170361925634,no,yes,no,no
35,35,1386921753155448833,no,yes,no,yes
36,36,1405185331511631879,yes,no,no,no
37,37,1365571987893067776,no,no,yes,no
38,38,1473060925666115590,no,no,yes,no
39,39,1349078634586320897,yes,no,no,yes
40,40,1407707442075607045,no,no,yes,no
41,41,1427174034932895745,no,no,yes,no
42,42,1472990188116721667,no,no,yes,no
43,43,1422844928401551365,no,no,yes,no
44,44,1410690268936949768,no,no,yes,no
45,45,1369344018010759173,yes,no,no,yes
46,46,1364130361937117184,no,yes,no,no
47,47,1407021688949297154,no,yes,no,yes
48,48,1379776300689276930,no,yes,no,no
49,49,1409437109140791298,yes,no,no,no
50,50,1435204525514792962,no,no,yes,no
51,51,1396507550670012417,no,yes,no,no
52,52,1382730091382312965,no,yes,no,no
53,53,1408355424529682433,no,no,yes,no
54,54,1352254623906611207,no,no,yes,no
55,55,1475453262946091014,no,yes,no,yes
56,56,1469603548430282754,no,no,yes,no
57,57,1458435361441464328,no,no,yes,no
58,58,1353379523946041347,no,yes,no,yes
59,59,1380126965387177985,no,yes,no,no
60,60,1406955225567666181,no,yes,no,yes
61,61,1466405410215284749,no,no,yes,no
62,62,1390412231574163456,no,yes,no,yes
63,63,1394929706328281090,no,yes,no,yes
64,64,1404706067834191876,no,yes,no,no
65,65,1461710373728497668,no,yes,no,yes
66,66,1401807872778981378,no,no,yes,no
67,67,1429777843488231430,no,yes,no,no
68,68,1398187607981441025,no,yes,no,no
69,69,1408488876331634691,no,no,yes,no
70,70,1405073816536092673,no,no,yes,no
71,71,1407780338517094401,no,yes,no,yes
72,72,1352526623938125827,no,yes,no,no
73,73,1407387582762205194,no,yes,no,yes
74,74,1381967331841085462,yes,no,no,no
75,75,1426841704896794625,no,no,yes,no
76,76,1470874164496109570,no,yes,no,no
77,77,1375096714055577600,no,yes,no,yes
78,78,1395415177235939343,yes,no,no,no
79,79,1379007631348600832,no,no,yes,no
80,80,1397169153740578819,no,no,yes,no
81,81,1389685036421615619,no,yes,no,no
82,82,1409452916092645377,no,no,yes,no
83,83,1407576724070621187,no,yes,no,yes
84,84,1372987508326346757,no,yes,no,yes
85,85,1367108894179401729,no,yes,no,yes
86,86,1442434139454590977,no,no,yes,no
87,87,1376458588626030593,no,yes,no,no
88,88,1375186499986194443,no,no,yes,no
89,89,1380491100322992129,yes,yes,no,no
90,90,1421063018092253184,no,no,yes,no
91,91,1379512320402022426,no,yes,no,no
92,92,1377535671091523584,no,yes,no,no
93,93,1471037946178506756,no,no,yes,no
94,94,1369707448076996608,no,no,yes,no
95,95,1349079935290400774,no,yes,no,yes
96,96,1428763236124479494,no,no,yes,no
97,97,1408392752258240514,no,yes,no,no
98,98,1416382413723291650,no,yes,no,no
99,99,1357023269287825411,no,yes,no,yes
100,100,1406952033517715459,no,yes,no,no
101,101,1472830605826142209,no,yes,no,yes
102,102,1377681521868439552,no,yes,no,no
103,103,1397840000197095429,no,no,yes,no
104,104,1376635986210344967,no,yes,no,yes
105,105,1463050726482010113,no,no,yes,no
106,106,1424390715770015750,no,no,yes,no
107,107,1394617962762489858,no,yes,no,yes
108,108,1381187835462565891,no,no,yes,no
109,109,1362055287956463616,yes,no,no,no
110,110,1432194711389868041,no,yes,no,no
111,111,1404045808207605760,no,yes,no,yes
112,112,1460282629148889103,no,no,yes,no
113,113,1433089768225533952,no,no,yes,no
114,114,1466091383106777092,no,no,yes,no
115,115,1357005559556419587,no,yes,no,yes
116,116,1377907330562584578,no,yes,no,no
117,117,1457634694619664388,no,no,yes,no
118,118,1462318074762309633,no,yes,no,no
119,119,1353821939534614528,no,yes,no,no
120,120,1349078651019653128,no,yes,no,yes
121,121,1387504904323878921,no,no,yes,no
122,122,1424068598344073232,yes,no,no,no
123,123,1347495930531106816,no,yes,no,no
124,124,1416375260480409607,no,yes,no,yes
125,125,1398731184683864065,no,no,yes,no
126,126,1411010935905529856,yes,no,no,no
127,127,1439940207088967691,no,no,yes,no
128,128,1464532494561251328,no,no,yes,no
129,129,1437410106682060800,no,no,yes,no
130,130,1402894898752262144,no,no,yes,no
131,131,1379361296236285954,no,yes,no,no
132,132,1367070526439587843,no,yes,no,no
133,133,1392100575660191748,no,yes,no,yes
134,134,1462741273165582337,no,no,yes,no
135,135,1441734207781359622,no,yes,no,no
136,136,1452541094038810633,no,no,yes,no
137,137,1393211399145508866,no,yes,no,yes
138,138,1403619800304304133,no,no,yes,no
139,139,1427174017618923525,no,no,yes,no
140,140,1475793272383672322,yes,no,no,no
141,141,1422621241337389062,no,yes,no,yes
142,142,1366731156310417409,no,yes,no,yes
143,143,1408047283971756036,no,yes,no,no
144,144,1381509190141755394,no,no,yes,no
145,145,1367112004608159746,no,yes,no,yes
146,146,1346375395214557185,yes,no,no,yes
147,147,1367098082685509635,no,yes,no,yes
148,148,1453960453181231105,no,no,yes,no
149,149,1430284668977487881,no,no,yes,no
150,150,1419378178921992194,no,yes,no,no
151,151,1397459114045886464,no,no,yes,no
152,152,1406146815569891329,no,no,yes,no
153,153,1398011688486584332,no,yes,no,no
154,154,1435943871511412737,yes,no,no,no
155,155,1407329729519271947,no,no,yes,no
156,156,1458354370756612096,no,no,yes,no
157,157,1459620258076147712,no,yes,no,yes
158,158,1394518116592463875,no,no,yes,no
159,159,1416303336802881539,no,no,yes,no
160,160,1375788971138113538,no,yes,no,no
161,161,1382919706126979072,no,yes,no,no
162,162,1382796157756317698,no,yes,no,yes
163,163,1412373500233498624,no,no,yes,no
164,164,1352684880384184327,no,yes,no,yes
165,165,1361667820426317827,no,no,yes,no
166,166,1385256657702330368,yes,no,no,no
167,167,1395606446381932545,no,yes,no,yes
168,168,1346922456003473409,no,yes,no,yes
169,169,1450139816591601669,no,yes,no,yes
170,170,1394358959235117060,no,yes,no,no
171,171,1400348646831448064,no,no,yes,no
172,172,1464877365914386435,no,no,yes,no
173,173,1426662440100638724,no,yes,no,yes
174,174,1434800999697375236,no,yes,no,yes
175,175,1439495155694854153,no,no,yes,no
176,176,1375417567158939649,no,yes,no,yes
177,177,1407807738281869312,yes,no,no,yes
178,178,1384482117690658819,no,no,yes,no
179,179,1369687407558336519,no,yes,no,no
180,180,1397644592057618448,no,no,yes,no
181,181,1457006277142450177,no,yes,no,yes
182,182,1408344150278299649,yes,no,no,yes
183,183,1427224106118881281,no,yes,no,no
184,184,1392046835733340160,no,yes,no,no
185,185,1360335896093089801,no,no,yes,no
186,186,1470694755424210947,no,yes,no,yes
187,187,1398594607135526914,no,yes,no,no
