Positive	Negative	Text
1	-2	"Meanwhile, the game for Via Nazionale becomes complicated. #Saccomanni says that ""not everyone is Mario #Monti"" http://t.co/xPtNz4X7 via @linkiesta"
1	-3	"False illusions, unpleasant realities Mario Monti http://t.co/WOmMCITs via @AddToAny"
1	-3	"False illusions, unpleasant realities #editorial by Mario Monti in Corriere della Sera: http://t.co/2jPxX6Jm #press review"
1	-2	"Mario Monti: Berlusconi spare Italy the blame for causing a disaster #mariomontipremier"
1	-2	"Mario Monti: Berlusconi spare Italy the blame for causing a disaster. The judgments of the USA and Europe. http://t.co/evXRFF1L"
1	-4	"False illusions, unpleasant realities Flawless analysis by Mario Monti, and yet another cry of alarm http://t.co/T5GTgIeE via @AddThis"
1	-3	"Mario Monti's attack on the Berlusconi government - False illusions, unpleasant realities Corriere della Sera: http://t.co/h9X8OeQS"
1	-1	"Mario Monti on Corriere: the most illuminating photograph on the delicate current situation http://t.co/YbuNZMOJ"
1	-3	"The 5 unpleasant realities that Berlusconi should personally realize http://t.co/G3u1iF9n Mario Monti does not mince words"
1	-3	"False illusions, unpleasant realities: http://t.co/4oHbFz1o Mario Monti's editorial on Berlusconi's failure, today in Corriere"
2	-2	"Mario Monti: there is a risk ... of transforming Italy from a founding state into a sinking state of the European Union! http://t.co/z3S1cVFR"
1	-3	"But how many DEMOCRATIC people eats that the stock market does not want to know about continuing to collapse? Poor Mario Monti will be desperate"
1	-3	"Mario Monti: False illusions, unpleasant realities http://t.co/UrlhqFsd From Italy the possible disintegration of the European Union"
1	-1	"@ mauryred82 I read that article on the train on CORRIERE DELLA SERA ... very hard words .. and it is MARIO MONTI .. a moderate .. WE ARE MISSI"
1	-3	"You listen to Mario Monti and you ask yourself .. Why waste a capital and continue to be represented by these pieces of shit ?! #half past eight"
3	-1	"# la7 but why isn't Mario Monti prime minister? What a competent and good person!"
1	-1	"Because it makes no sense to talk about the Monti, Casini or Bersani government http://t.co/NdAZ1HuW"
1	-1	"Mario Monti is known by 60% of the interviewees. But they prefer to call it shrimp and zucchini. serena gandhi http://t.co/kNLHGrHU"
2	-1	"@riotta are calmer now :-) have a nice day. Anyway it would take Mario Monti"
